Business File Number,Latitude,Longitude
2014-BFN-0003949,39.638685470136956,-105.084801
2013-BFN-1068512,39.638685470136956,-105.084801
2016-BFN-0004094,39.63370499999999,-105.10977829078479
2014-BFN-1071718,39.63370499999999,-105.10977829078479
2010-BFN-1045692,39.74671522424844,-104.99422949945173
2010-BFN-1045890,39.74987219149985,-105.0016719822264
2013-BFN-1069174,39.75024815875126,-104.99776411711588
2010-BFN-1045677,39.75155756815155,-104.99965096629911
2010-BFN-1045926,39.75076896419299,-105.00051449180569
2013-BFN-1069426,39.75076896419299,-105.00051449180569
2013-BFN-1069409,39.74335761532687,-104.98973472355594
2017-BFN-0006975,39.75651008272251,-104.9977749543539
2010-BFN-1045925,39.75240005802401,-104.99191045126682
2013-BFN-1070405,39.75240005802401,-104.99191045126682
2013-BFN-1069253,39.75155756815155,-104.99965096629911
2013-BFN-1069055,39.74671522424844,-104.99422949945173
2010-BFN-1045824,39.75024815875126,-104.99776411711588
2010-BFN-1045407,39.7273014893242,-104.9856435313636
2013-BFN-1069488,39.742802832361946,-104.97985422312325
2010-BFN-1045781,39.740008485140606,-104.98266402844942
2013-BFN-1069798,39.71727033527614,-104.98753921859294
2015-BFN-0005338,39.73615216763807,-104.98354772975969
2015-BFN-0001350,39.73007738773157,-104.98736831083743
2010-BFN-1045897,39.717855000000014,-104.9874667519767
2013-BFN-1068965,39.740008485140606,-104.98266402844942
2010-BFN-1048491,39.720483,-104.98746824476333
2010-BFN-1045517,39.742802832361946,-104.97985422312325
2013-BFN-1069355,39.730391528997686,-104.98665077699232
2014-BFN-1073782,39.717855000000014,-104.9874667519767
2010-BFN-1045682,39.73169669608748,-104.9861272853022
2015-BFN-0006106,39.72565747489747,-104.977881
2014-BFN-0003085,39.720483,-104.98746824476333
2014-BFN-0005610,39.7273014893242,-104.9856435313636
2013-BFN-1069396,39.73169669608748,-104.9861272853022
2013-BFN-1069215,39.73106346768411,-105.0124407485429
2016-BFN-0007402,39.734308592561604,-105.0145377964107
2014-BFN-0004053,39.74037245325738,-105.04899352553522
2010-BFN-1045858,39.73653916763806,-104.99415971469779
2014-BFN-0003908,39.72933650432784,-105.02323186372554
2010-BFN-1046035,39.724614,-105.0186977369148
2013-BFN-1070248,39.73782302469849,-104.9987970451265
2010-BFN-1048130,39.73106346768411,-105.0124407485429
2010-BFN-1048331,39.72561068926006,-105.00001153785202
2015-BFN-0008113,39.73688746378898,-104.99343258090484
2010-BFN-1045704,39.73727716763807,-104.99415774412817
2010-BFN-1045443,39.72809337623714,-105.00018039060937
2013-BFN-1069092,39.742874413266776,-105.02521430694227
2013-BFN-1070316,39.72561068926006,-105.00001153785202
2010-BFN-1045691,39.73688746378898,-104.99343258090484
2014-BFN-1070938,39.72360611518263,-105.02521618526744
2013-BFN-1068848,39.72888886372556,-105.01983574023302
2013-BFN-1069776,39.73653916763806,-104.99415971469779
2010-BFN-1045784,39.74036749711446,-105.03908002553523
2010-BFN-1045425,39.74037245325738,-105.04899352553522
2015-BFN-0001752,39.74036749711446,-105.03908002553523
2014-BFN-0005236,39.734415167638076,-104.99028575465974
2010-BFN-1045920,39.728457167638055,-105.01217922912451
2015-BFN-0007650,39.734308592561604,-105.0145377964107
2010-BFN-1045831,39.742874413266776,-105.02521430694227
2010-BFN-1045413,39.734415167638076,-104.99028575465974
2014-BFN-0004260,39.77207952844941,-104.96467723754996
2010-BFN-1045404,39.76127678296494,-104.98186049223837
2010-BFN-1045904,39.754229677505826,-104.991001631023
2014-BFN-0002263,39.754229677505826,-104.991001631023
2015-BFN-0000480,39.75243362891687,-104.98477125382303
2010-BFN-1045803,39.75243362891687,-104.98477125382303
2010-BFN-1045859,39.764658384673126,-104.98087519802073
2017-BFN-0000775,39.77237730391252,-104.96589779583378
2016-BFN-0007492,39.77207952844941,-104.96467723754996
2014-BFN-0004813,39.77059027531887,-104.97149400776162
2013-BFN-1069489,39.772638167638064,-104.96838776698033
2010-BFN-1045840,39.75219266166546,-104.9900331695713
2010-BFN-1046038,39.77059027531887,-104.97149400776162
2010-BFN-1045728,39.75412317652486,-104.97893749362336
2013-BFN-1069000,39.75412317652486,-104.97893749362336
2013-BFN-1070404,39.754229677505826,-104.991001631023
2013-BFN-1070230,39.76127678296494,-104.98186049223837
2013-BFN-1069003,39.75219266166546,-104.9900331695713
2013-BFN-1069103,39.763015220353296,-104.97956404382842
2010-BFN-1047947,39.772638167638064,-104.96838776698033
2014-BFN-0004769,39.77237730391252,-104.96589779583378
2010-BFN-1045679,39.73995651788917,-104.9625405
2010-BFN-1045851,39.721248,-104.95096625587183
2015-BFN-0000208,39.7401834532574,-104.950593
2013-BFN-1069397,39.73995651788917,-104.9625405
2013-BFN-1069502,39.721248,-104.95096625587183
2015-BFN-0001687,39.771989276992315,-104.90771726576824
2010-BFN-1045805,39.770027999999996,-104.92935871859294
2013-BFN-1070234,39.772224723007696,-104.92228420869652
2010-BFN-1045587,39.771989276992315,-104.90771726576824
2013-BFN-1068866,39.770027999999996,-104.92935871859294
2010-BFN-1048303,39.772224723007696,-104.92228420869652
2010-BFN-1045746,39.70943027699232,-104.94137776245003
2010-BFN-1045700,39.70869300000001,-104.98757574534025
2015-BFN-0004779,39.714083863725534,-104.98759769695285
2010-BFN-1045604,39.715082077990644,-104.98146731805079
2014-BFN-1070940,39.70943027699232,-104.94137776245003
2013-BFN-1070421,39.69895500000001,-104.98281670474313
2010-BFN-1045865,39.71433549708581,-104.94620974744639
2013-BFN-1070229,39.70869300000001,-104.98757574534025
2010-BFN-1045912,39.69895500000001,-104.98281670474313
2013-BFN-1069225,39.673395,-104.9734961708407
2010-BFN-1045906,39.680469000000016,-104.98761772970144
2013-BFN-1069459,39.683682000000005,-104.98752682858238
2013-BFN-1069615,39.67933500000001,-104.98760674023302
2016-BFN-0004810,39.681827999999996,-104.9876167146978
2013-BFN-1068933,39.67845449956731,-104.96784149999999
2013-BFN-1069078,39.67576199999999,-104.98769566030914
2014-BFN-1071059,39.68468952844941,-104.98758618916257
2013-BFN-1070104,39.670029,-104.98749831415564
2013-BFN-1069392,39.673197000000016,-104.9874977741937
2010-BFN-1048423,39.690404832361935,-104.98048771859294
2015-BFN-0001351,39.681827999999996,-104.9876167146978
2010-BFN-1045923,39.68176500000001,-104.98761567531278
2013-BFN-1069262,39.680127,-104.98761772970144
2010-BFN-1045782,39.683682000000005,-104.98752682858238
2010-BFN-1045725,39.67576199999999,-104.98769566030914
2013-BFN-1070063,39.6754557485429,-104.98749779583378
2010-BFN-1045887,39.673395,-104.9734961708407
2010-BFN-1045509,39.673197000000016,-104.9874977741937
2010-BFN-1045852,39.670029,-104.98749831415564
2010-BFN-1045837,39.68817283236194,-104.98748831805078
