Neighborhood,Latitude,Longitude
Athmar Park,39.70396000000005,-105.01038999999997
Auraria,39.74577000000005,-105.01001999999994
Baker,39.71117000000004,-104.99208999999996
Barnum,39.71815000000004,-105.03308999999996
Barnum West,39.71815000000004,-105.04509999999999
Bear Valley,39.66172000000006,-105.06560999999999
Belcaro,39.70384000000007,-104.94973999999996
Berkeley,39.77666000000005,-105.03983999999997
Central Business District,39.743670000000066,-104.99066999999997
Capitol Hill,39.733700000000056,-104.97928999999999
Chaffee Park,39.78741000000008,-105.01755999999995
Cheesman Park,39.73664000000008,-104.96720999999997
Cherry Creek,39.717820000000074,-104.94882999999999
City Park,39.74379000000005,-104.94824999999997
City Park West,39.74545000000006,-104.96719999999999
Civic Center,39.73526000000004,-104.99095999999997
Clayton,39.76693000000006,-104.95050999999995
Cole,39.76633000000004,-104.96593999999999
College View - South Platte,39.678540000000055,-105.00313999999997
Congress Park,39.73359000000005,-104.95000999999996
Cory - Merrill,39.691140000000075,-104.95060999999998
Country Club,39.721960000000024,-104.96551999999997
Denver International Airport,39.85138000000006,-104.68095999999997
East Colfax,39.74126000000007,-104.89399999999995
Elyria Swansea,39.781960000000026,-104.95909999999998
Five Points,39.75920000000008,-104.98759999999999
Fort Logan,39.64154000000008,-105.04648999999995
Gateway - Green Valley Ranch,39.78254000000004,-104.75253999999995
Globeville,39.78194000000008,-104.98522999999994
Goldsmith,39.673020000000065,-104.91463999999996
Hale,39.732710000000054,-104.93041999999997
Hampden,39.66073000000006,-104.88566999999995
Hampden South,39.645260000000064,-104.89521999999994
Harvey Park,39.66250000000008,-105.04226999999997
Harvey Park South,39.66250000000008,-105.04226999999997
Highland,39.76442000000003,-105.01197999999994
Hilltop,39.71861000000007,-104.92459999999994
Indian Creek,39.684734344465,-104.897361755171
Jefferson Park,39.75121000000007,-105.02134999999998
Kennedy,39.65945000000005,-104.85897999999997
Lincoln Park,39.72896000000003,-105.00215999999995
Lowry Field,39.72251000000006,-104.89153999999996
Mar Lee,39.68948000000006,-105.03922999999998
Marston,39.63620000000003,-105.08196999999996
Montbello,39.793210000000045,-104.83385999999996
Montclair,39.73166000000003,-104.91336999999999
North Capitol Hill,39.744030000000066,-104.98107999999996
North Park Hill,39.756560000000036,-104.92401999999998
Northeast Park Hill,39.77499000000006,-104.92228999999998
Overland,39.67841000000004,-104.99205999999998
Platt Park,39.687580000000025,-104.98101999999994
Regis,39.787420000000054,-105.04098999999997
Rosedale,39.67491000000007,-104.98184999999995
Ruby Hill,39.69106000000005,-105.00873999999999
Skyland,39.757580000000075,-104.94989999999996
Sloan Lake,39.752560000000074,-105.03812999999997
South Park Hill,39.74562000000003,-104.92520999999999
Southmoor Park,39.645080000000064,-104.91737999999998
Speer,39.71933000000007,-104.97997999999995
Stapleton,39.76881000000003,-104.86563999999998
Sun Valley,39.73642000000007,-105.02176999999995
Sunnyside,39.774830000000065,-105.00643999999994
Union Station,39.753490000000056,-104.99887999999999
University,39.67850000000004,-104.96661999999998
University Hills,39.66746000000006,-104.93300999999997
University Park,39.675952911365,-104.950141906171
Valverde,39.71846000000005,-105.01603999999998
Villa Park,39.731399536165,-105.039489746172
Virginia Village,39.68933000000004,-104.92614999999995
Washington Park,39.70204000000007,-104.96574999999996
Washington Park West,39.70199000000008,-104.98336999999998
Washington Virginia Vale,39.703700000000026,-104.91440999999998
Wellshire,39.667580000000044,-104.95120999999995
West Colfax,39.740350000000035,-105.04143999999997
West Highland,39.762110000000064,-105.04106999999999
Westwood,39.706210000000056,-105.03989999999999
Whittier,39.75634000000008,-104.96594999999996
Windsor,39.70581000000004,-104.89234999999996
