Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Athmar Park,39.70396000000005,-105.01038999999997,Super Star Asian Cuisine,39.710007449028794,-105.01371473911989,Dim Sum Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Vinh Xuong Bakery (2),39.71060865562615,-105.01523210053624,Vietnamese Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Chain Reaction Brewery,39.699576951542156,-105.00133458143358,Brewery
Athmar Park,39.70396000000005,-105.01038999999997,The Green Solution - Alameda Ave @ West Denver Cannabis Dispensary,39.71153,-105.01829,Marijuana Dispensary
Athmar Park,39.70396000000005,-105.01038999999997,Costco Wholesale,39.708594250562086,-105.01428004608469,Department Store
Athmar Park,39.70396000000005,-105.01038999999997,New Saigon,39.70484848169492,-105.02481143459917,Vietnamese Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Pho Duy,39.69975760481266,-105.02538192342972,Vietnamese Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Stranahan's Colorado Whiskey,39.71225253865977,-104.99857584514214,Distillery
Athmar Park,39.70396000000005,-105.01038999999997,Pacific Ocean International Supermarket,39.71040841038027,-105.01361225613765,Supermarket
Athmar Park,39.70396000000005,-105.01038999999997,Level 7 Games,39.7114668714168,-105.01558107545411,Video Game Store
Athmar Park,39.70396000000005,-105.01038999999997,Star Kitchen,39.69731156829677,-105.02427906891246,Dim Sum Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Ba Le Sandwiches,39.69782700892866,-105.0247488208365,Sandwich Place
Athmar Park,39.70396000000005,-105.01038999999997,Tacos Rapidos,39.71142164090778,-105.01498911498871,Mexican Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Lao Wang Noodle House,39.69951270406571,-105.02552636137948,Chinese Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Pho 79,39.702559126686815,-105.0253969547549,Vietnamese Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Saigon Bowl,39.71053723397363,-105.02557763017008,Vietnamese Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,The Asian Cajun,39.710982552718875,-105.01598310557416,Asian Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Pho 96,39.6964756192911,-105.02471275566126,Vietnamese Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,The Crawling Crab,39.702356435304864,-105.02536298874821,Cajun / Creole Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Stranahan's Whiskey Tour,39.71220846779672,-104.99853109291519,Whisky Bar
Athmar Park,39.70396000000005,-105.01038999999997,Colorado Harvest Company,39.6991473836401,-104.9990325522211,Marijuana Dispensary
Athmar Park,39.70396000000005,-105.01038999999997,Tarasco's New Latino Cuisine,39.70806063007014,-105.02463386457579,Mexican Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Huston Lake Park,39.69965535176167,-105.0160234729517,Park
Athmar Park,39.70396000000005,-105.01038999999997,China Jade,39.70984450926134,-105.02587960989267,Dim Sum Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Kings Land Chinese Seafood,39.71060904708068,-105.01465813872233,Dim Sum Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Las Tortugas,39.71151,-105.00981,Mexican Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Taqueria La Calle,39.711365551550834,-105.01025946887681,Mexican Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Pho Ta,39.709801718349006,-105.01375081077138,Vietnamese Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Starbucks,39.71075133003787,-105.0223291600773,Coffee Shop
Athmar Park,39.70396000000005,-105.01038999999997,Wingstop,39.711533888288045,-105.01139977087466,Wings Joint
Athmar Park,39.70396000000005,-105.01038999999997,Fritangas Mexican Restaurant,39.71084,-105.02622,Mexican Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,J's Noodle & New Thai,39.6994886699044,-105.02540371326408,Thai Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Family Dollar,39.69706871693948,-105.01053240554711,Discount Store
Athmar Park,39.70396000000005,-105.01038999999997,Suvipa Thai,39.698139,-105.025388,Thai Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,The Empress Seafood Restaurant,39.711454572887256,-105.02332518578582,Dim Sum Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Hong Kong BBQ,39.697696379665466,-105.02473012462832,Chinese Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,McDonald's,39.7107579,-105.0234839,Fast Food Restaurant
Athmar Park,39.70396000000005,-105.01038999999997,Little Caesars Pizza,39.71153299023702,-105.01130854941775,Pizza Place
